Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,183.199997,183.429993,179.910004,181.229996,180.029678,3411600
2020-05-11,179.369995,182.880005,178.520004,180.880005,179.681992,2629200
2020-05-12,181.970001,182.589996,176.440002,176.539993,175.370728,3610600
2020-05-13,176.179993,176.570007,171.009995,172.820007,171.675385,4729100
2020-05-14,170.199997,175.660004,167.850006,175.410004,174.248230,4868400
2020-05-15,173.050003,174.710007,171.679993,173.809998,172.658813,6879600
2020-05-18,180.059998,181.149994,178.110001,179.830002,178.638947,4653000
2020-05-19,180.119995,181.460007,178.070007,179.570007,178.380676,3365000
2020-05-20,182.000000,184.600006,180.570007,184.100006,182.880676,4920800
2020-05-21,184.179993,185.479996,182.110001,185.080002,183.854172,2913600
2020-05-22,184.479996,185.350006,183.179993,184.410004,183.188614,2475200
2020-05-26,189.589996,190.660004,184.240005,184.839996,183.615768,3990900
2020-05-27,188.740005,188.750000,185.270004,187.720001,186.476700,3993400
2020-05-28,189.419998,190.479996,186.720001,188.729996,187.479996,3567600
2020-05-29,187.429993,188.699997,185.710007,186.320007,186.320007,5719100
2020-06-01,186.710007,187.839996,185.600006,187.410004,187.410004,2168200
2020-06-02,188.399994,188.559998,186.089996,187.589996,187.589996,3125500
2020-06-03,188.470001,193.809998,188.089996,193.289993,193.289993,3881500
2020-06-04,192.320007,194.259995,191.619995,193.240005,193.240005,3469100
2020-06-05,198.000000,200.149994,196.270004,197.160004,197.160004,4728300
2020-06-08,195.679993,202.729996,195.639999,202.649994,202.649994,4443900
2020-06-09,200.369995,201.570007,199.009995,199.520004,199.520004,3728600
2020-06-10,199.130005,199.559998,195.669998,195.800003,195.800003,3459900
2020-06-11,190.899994,192.910004,186.330002,187.509995,187.509995,5796000
2020-06-12,191.669998,191.669998,185.449997,189.169998,189.169998,4107900
2020-06-15,184.600006,190.119995,184.139999,189.490005,189.490005,4499000
2020-06-16,192.000000,193.500000,187.509995,190.320007,190.320007,5422400
2020-06-17,191.919998,192.880005,190.419998,190.789993,190.789993,2890698
